drug_id,drug_name,therapeutic_area,molecule_type,launch_year,region,month_year,units_sold,drug_price,competitor_1_price,competitor_2_price,competitor_3_price,insurance_coverage,hospital_tier,doctor_visits,marketing_spend,rep_visits,regulatory_flags,adverse_events,patient_income_level,total_revenue,market_share
D0103,Immunexa,Oncology,Small Molecule,2010,Europe,01-2021,228,419.81,450.68,289.31,323.15,47,Tier 1,51,131536.21,25,0,7,Low,95716.68000000001,51.47
D0180,Diabetrol,Cardiology,Biologic,2020,North America,01-2021,199,376.51,447.6,204.29,57.78,68,Tier 3,63,88988.3,37,0,4,Mid,74925.49,20.52
D0093,ArthroAid,Oncology,Biosimilar,2011,LATAM,01-2021,208,426.35,488.72,148.99,253.45,49,Tier 1,40,122973.71,32,0,4,Low,88680.8,37.68
D0015,Diabetrol,Pulmonology,Small Molecule,2004,North America,01-2021,180,50.66,356.1,332.99,120.68,73,Tier 3,56,89797.3,29,0,5,Mid,9118.8,32.03
D0107,ArthroAid,Diabetes,Biosimilar,2022,LATAM,01-2021,210,35.18,261.1,84.64,115.57,63,Tier 1,51,39069.2,32,2,4,Mid,7387.8,40.23
D0072,Neuroxin,Oncology,Small Molecule,2008,North America,01-2021,188,144.08,99.83,268.94,471.51,85,Tier 3,53,99191.08,31,0,8,Mid,27087.04,19.77
D0189,Cardiolax,Immunology,Small Molecule,2008,Europe,01-2021,172,452.32,358.58,388.68,385.54,87,Tier 1,54,141274.39,32,0,4,Low,77799.04,18.12
D0021,Diabetrol,Dermatology,Small Molecule,2021,North America,01-2021,192,415.36,159.96,98.86,354.19,56,Tier 2,53,161863.92,24,0,3,Mid,79749.12,25.88
D0103,Dermasol,Rheumatology,Small Molecule,2009,Europe,01-2021,200,347.71,155.81,381.56,134.69,71,Tier 2,42,103731.99,19,0,5,High,69542.0,20.96
D0122,ArthroAid,Dermatology,Biologic,2021,Europe,01-2021,206,356.36,134.38,385.18,76.92,50,Tier 1,53,41395.2,31,0,2,Mid,73410.16,62.42
D0075,Diabetrol,Cardiology,Biosimilar,2018,North America,01-2021,185,368.8,440.06,48.76,438.0,73,Tier 3,47,88790.66,37,0,6,Low,68228.0,18.57
D0088,Pulmofix,Dermatology,Biosimilar,2000,Europe,01-2021,186,472.45,436.62,29.02,22.82,63,Tier 1,57,159395.85,20,0,6,Low,87875.7,35.91
D0117,OncoCure,Diabetes,Biosimilar,2006,APAC,01-2021,175,419.45,322.87,487.49,206.29,94,Tier 2,49,88443.26,36,0,3,High,73403.75,22.15
D0100,Dermasol,Cardiology,Small Molecule,2003,North America,01-2021,215,319.23,247.03,112.82,153.25,44,Tier 3,51,142340.85,36,0,4,Mid,68634.45,35.71
D0104,Dermasol,Diabetes,Biologic,2000,North America,01-2021,198,339.54,342.61,414.63,293.78,68,Tier 1,35,106370.6,28,0,5,Low,67228.92,20.16
